invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax,total,date,time,payment,cogs,gross_margin_pct,gross_income,rating,customer_id,Year,Month,Month_Name,Quarter,Weekday,age,annual_income,social_class
943-89-2619,B,Yangon,Member,Female,Fashion accessories,120,6,0.05,756.0,2021-01-01,11:46:00,Ewallet,720,18.089,36.0,5.8,CUST-0815,2021,1,Jan,1,Friday,31,88019,Middle
133-68-8242,B,Naypyitaw,Member,Female,Home and lifestyle,200,5,0.05,1050.0,2021-01-02,13:30:00,Cash,1000,6.014,50.0,7.9,CUST-0155,2021,1,Jan,1,Saturday,61,99402,Middle
114-51-5340,B,Naypyitaw,Member,Male,Sports and travel,180,8,0.05,1512.0,2021-01-03,15:50:00,Credit card,1440,15.045,72.0,5.2,CUST-0399,2021,1,Jan,1,Sunday,69,21160,Lower
716-13-3826,A,Mandalay,Normal,Female,Home and lifestyle,200,5,0.05,1050.0,2021-01-03,19:35:00,Ewallet,1000,6.014,50.0,6.3,CUST-0065,2021,1,Jan,1,Sunday,60,50607,Lower
195-26-4763,A,Naypyitaw,Member,Female,Food and beverages,15,1,0.05,15.75,2021-01-04,18:53:00,Credit card,15,2.064,0.75,5.5,CUST-0085,2021,1,Jan,1,Monday,44,67407,Middle
251-92-9935,A,Naypyitaw,Normal,Female,Home and lifestyle,200,7,0.05,1470.0,2021-01-04,18:33:00,Ewallet,1400,6.014,70.0,4.5,CUST-0148,2021,1,Jan,1,Monday,50,40960,Lower
454-30-6094,B,Mandalay,Member,Male,Food and beverages,15,10,0.05,157.5,2021-01-04,21:46:00,Credit card,150,2.064,7.5,5.5,CUST-0249,2021,1,Jan,1,Monday,49,38245,Lower
888-71-3009,A,Yangon,Normal,Female,Electronic accessories,30,9,0.05,283.5,2021-01-04,15:28:00,Cash,270,12.423,13.5,7.5,CUST-0934,2021,1,Jan,1,Monday,59,147938,Upper
263-29-9118,A,Yangon,Member,Male,Home and lifestyle,200,3,0.05,630.0,2021-01-05,14:45:00,Ewallet,600,6.014,30.0,6.3,CUST-0175,2021,1,Jan,1,Tuesday,33,137069,Upper
456-26-6340,A,Naypyitaw,Normal,Male,Sports and travel,180,7,0.05,1323.0,2021-01-05,11:56:00,Credit card,1260,15.045,63.0,7.8,CUST-0096,2021,1,Jan,1,Tuesday,23,128314,Upper
559-55-3414,A,Mandalay,Member,Female,Fashion accessories,120,4,0.05,504.0,2021-01-05,11:46:00,Credit card,480,18.089,24.0,6.0,CUST-0442,2021,1,Jan,1,Tuesday,29,15736,Lower
807-52-3747,A,Yangon,Normal,Male,Fashion accessories,120,6,0.05,756.0,2021-01-05,11:16:00,Credit card,720,18.089,36.0,9.3,CUST-0209,2021,1,Jan,1,Tuesday,46,29771,Lower
544-85-1122,A,Mandalay,Normal,Female,Sports and travel,180,2,0.05,378.0,2021-01-06,13:23:00,Cash,360,15.045,18.0,4.4,CUST-0051,2021,1,Jan,1,Wednesday,65,125858,Middle
732-65-8836,A,Naypyitaw,Normal,Female,Health and beauty,90,2,0.05,189.0,2021-01-06,14:56:00,Ewallet,180,12.065,9.0,4.0,CUST-0211,2021,1,Jan,1,Wednesday,19,41391,Lower
184-94-2021,A,Naypyitaw,Member,Male,Home and lifestyle,200,2,0.05,420.0,2021-01-07,18:32:00,Ewallet,400,6.014,20.0,5.6,CUST-0089,2021,1,Jan,1,Thursday,60,85267,Middle
